date,product_id,category,units_sold,units_ordered,price,discount(%),weather,season,demand,promotion,holiday,units_sold_ma7,lag_1,revenue,month
2022-10-25,P001,Clothes,5,8,799,0,Pleasant,Autumn,Medium,No,No,8.857142857142858,6.0,3995,2022-10
2022-10-26,P001,Clothes,6,6,799,0,Cloudy,Autumn,Medium,No,No,9.285714285714286,5.0,4794,2022-10
2022-10-27,P001,Clothes,3,4,799,0,Sunny,Autumn,Low,No,No,8.0,6.0,2397,2022-10
2022-11-06,P001,Clothes,15,16,799,10,Cloudy,Autumn,High,Yes,Yes,9.571428571428571,3.0,11985,2022-11
2022-11-10,P001,Clothes,3,6,799,0,Sunny,Autumn,Low,No,No,8.857142857142858,15.0,2397,2022-11
2022-11-11,P001,Clothes,3,6,799,0,Pleasant,Autumn,Low,No,No,5.857142857142857,3.0,2397,2022-11
2022-11-14,P001,Clothes,5,5,799,0,Pleasant,Autumn,Medium,No,No,5.714285714285714,3.0,3995,2022-11
2022-11-15,P001,Clothes,6,9,799,0,Sunny,Autumn,Medium,No,No,5.857142857142857,5.0,4794,2022-11
2022-11-15,P001,Clothes,4,4,799,0,Sunny,Autumn,Low,No,No,5.571428571428571,6.0,3196,2022-11
2022-11-18,P001,Clothes,6,6,799,25,Pleasant,Autumn,Medium,Yes,No,6.0,4.0,4794,2022-11
2022-11-21,P001,Clothes,6,7,799,15,Pleasant,Autumn,Medium,Yes,No,4.714285714285714,6.0,4794,2022-11
2022-11-24,P001,Clothes,6,7,799,20,Pleasant,Autumn,Medium,Yes,No,5.142857142857143,6.0,4794,2022-11
2022-11-27,P001,Clothes,3,4,799,0,Cloudy,Autumn,Low,No,Yes,5.142857142857143,6.0,2397,2022-11
2022-11-28,P001,Clothes,8,10,799,0,Pleasant,Autumn,Medium,No,No,5.571428571428571,3.0,6392,2022-11
2022-12-04,P001,Clothes,0,1,799,0,Sunny,Winter,Low,No,Yes,4.714285714285714,8.0,0,2022-12
2022-12-05,P001,Clothes,6,7,799,0,Sunny,Winter,Medium,No,No,5.0,0.0,4794,2022-12
2022-12-09,P001,Clothes,2,2,799,0,Cloudy,Winter,Low,No,No,4.428571428571429,6.0,1598,2022-12
2022-12-12,P001,Clothes,3,5,799,0,Cold,Winter,Low,No,No,4.0,2.0,2397,2022-12
2022-12-12,P001,Clothes,15,15,799,25,Cold,Winter,High,Yes,No,5.285714285714286,3.0,11985,2022-12
2022-12-15,P001,Clothes,3,6,799,0,Cold,Winter,Low,No,No,5.285714285714286,15.0,2397,2022-12
2022-12-16,P001,Clothes,3,6,799,0,Sunny,Winter,Low,No,No,4.571428571428571,3.0,2397,2022-12
2022-12-17,P001,Clothes,7,8,799,0,Cold,Winter,Medium,No,Yes,5.571428571428571,3.0,5593,2022-12
2022-12-17,P001,Clothes,7,9,799,0,Cold,Winter,Medium,No,Yes,5.714285714285714,7.0,5593,2022-12
2022-12-18,P001,Clothes,5,8,799,25,Cold,Winter,Medium,Yes,Yes,6.142857142857143,7.0,3995,2022-12
2022-12-19,P001,Clothes,8,10,799,0,Cold,Winter,Medium,No,No,6.857142857142857,5.0,6392,2022-12
2022-12-22,P001,Clothes,6,8,799,0,Sunny,Winter,Medium,No,No,5.571428571428571,8.0,4794,2022-12
2022-12-23,P001,Clothes,3,4,799,0,Cold,Winter,Low,No,No,5.571428571428571,6.0,2397,2022-12
2022-12-23,P001,Clothes,6,6,799,0,Cold,Winter,Medium,No,No,6.0,3.0,4794,2022-12
2022-12-23,P001,Clothes,11,14,799,5,Cold,Winter,High,Yes,No,6.571428571428571,6.0,8789,2022-12
2022-12-27,P001,Clothes,3,3,799,0,Cold,Winter,Low,No,No,6.0,11.0,2397,2022-12
2022-12-27,P001,Clothes,1,2,799,0,Cold,Winter,Low,No,No,5.428571428571429,3.0,799,2022-12
2022-12-29,P001,Clothes,7,7,799,0,Sunny,Winter,Medium,No,No,5.285714285714286,1.0,5593,2022-12
2022-12-31,P001,Clothes,10,13,799,0,Sunny,Winter,High,No,Yes,5.857142857142857,7.0,7990,2022-12
2023-01-02,P001,Clothes,3,5,799,0,Cloudy,Winter,Low,No,No,5.857142857142857,10.0,2397,2023-01
2023-01-05,P001,Clothes,3,6,799,0,Cold,Winter,Low,No,No,5.428571428571429,3.0,2397,2023-01
2023-01-07,P001,Clothes,6,8,799,0,Cold,Winter,Medium,No,Yes,4.714285714285714,3.0,4794,2023-01
2023-01-12,P001,Clothes,4,7,799,0,Cold,Winter,Low,No,No,4.857142857142857,6.0,3196,2023-01
2023-01-15,P001,Clothes,2,5,799,0,Sunny,Winter,Low,No,Yes,5.0,4.0,1598,2023-01
2023-01-18,P001,Clothes,6,6,799,0,Cold,Winter,Medium,No,No,4.857142857142857,2.0,4794,2023-01
2023-01-22,P001,Clothes,1,1,799,0,Cold,Winter,Low,No,Yes,3.5714285714285716,6.0,799,2023-01
2023-01-22,P001,Clothes,7,9,799,10,Cold,Winter,Medium,Yes,Yes,4.142857142857143,1.0,5593,2023-01
2023-01-26,P001,Clothes,5,8,799,15,Cold,Winter,Medium,Yes,No,4.428571428571429,7.0,3995,2023-01
2023-01-26,P001,Clothes,4,5,799,0,Cold,Winter,Low,No,No,4.142857142857143,5.0,3196,2023-01
2023-01-26,P001,Clothes,3,4,799,0,Cold,Winter,Low,No,No,4.0,4.0,2397,2023-01
2023-01-27,P001,Clothes,4,6,799,0,Cloudy,Winter,Low,No,No,4.285714285714286,3.0,3196,2023-01
2023-02-02,P001,Clothes,7,9,799,0,Sunny,Winter,Medium,No,No,4.428571428571429,4.0,5593,2023-02
2023-02-02,P001,Clothes,6,6,799,0,Sunny,Winter,Medium,No,No,5.142857142857143,7.0,4794,2023-02
2023-02-03,P001,Clothes,6,7,799,0,Sunny,Winter,Medium,No,No,5.0,6.0,4794,2023-02
2023-02-04,P001,Clothes,4,6,799,0,Sunny,Winter,Low,No,Yes,4.857142857142857,6.0,3196,2023-02
2023-02-05,P001,Clothes,5,8,799,0,Cold,Winter,Medium,No,Yes,5.0,4.0,3995,2023-02
2023-02-08,P001,Clothes,2,4,799,0,Cold,Winter,Low,No,No,4.857142857142857,5.0,1598,2023-02
2023-02-12,P001,Clothes,10,12,799,0,Cold,Winter,High,No,Yes,5.714285714285714,2.0,7990,2023-02
2023-02-13,P001,Clothes,4,4,799,25,Sunny,Winter,Low,Yes,No,5.285714285714286,10.0,3196,2023-02
2023-02-13,P001,Clothes,5,6,799,0,Sunny,Winter,Medium,No,No,5.142857142857143,4.0,3995,2023-02
2023-02-13,P001,Clothes,2,4,799,0,Sunny,Winter,Low,No,No,4.571428571428571,5.0,1598,2023-02
2023-02-15,P001,Clothes,5,8,799,10,Sunny,Winter,Medium,Yes,No,4.714285714285714,2.0,3995,2023-02
2023-02-20,P001,Clothes,7,10,799,0,Sunny,Winter,Medium,No,No,5.0,5.0,5593,2023-02
2023-02-22,P001,Clothes,11,13,799,15,Cold,Winter,High,Yes,No,6.285714285714286,7.0,8789,2023-02
2023-02-22,P001,Clothes,1,3,799,0,Cold,Winter,Low,No,No,5.0,11.0,799,2023-02
2023-02-22,P001,Clothes,3,5,799,25,Cold,Winter,Low,Yes,No,4.857142857142857,1.0,2397,2023-02
2023-02-23,P001,Clothes,4,5,799,0,Sunny,Winter,Low,No,No,4.714285714285714,3.0,3196,2023-02
2023-03-03,P001,Clothes,5,6,799,0,Hot,Summer,Medium,No,No,5.142857142857143,4.0,3995,2023-03
2023-03-06,P001,Clothes,6,8,799,0,Sunny,Summer,Medium,No,No,5.285714285714286,5.0,4794,2023-03
2023-03-07,P001,Clothes,9,10,799,10,Sunny,Summer,Medium,Yes,No,5.571428571428571,6.0,7191,2023-03
2023-03-09,P001,Clothes,17,19,799,10,Hot,Summer,High,Yes,No,6.428571428571429,9.0,13583,2023-03
2023-03-15,P001,Clothes,4,6,799,0,Sunny,Summer,Low,No,No,6.857142857142857,17.0,3196,2023-03
2023-03-18,P001,Clothes,2,4,799,10,Sunny,Summer,Low,Yes,Yes,6.714285714285714,4.0,1598,2023-03
2023-03-18,P001,Clothes,21,21,799,15,Sunny,Summer,High,Yes,Yes,9.142857142857142,2.0,16779,2023-03
2023-03-20,P001,Clothes,5,5,799,15,Sunny,Summer,Medium,Yes,No,9.142857142857142,21.0,3995,2023-03
2023-03-20,P001,Clothes,5,6,799,0,Sunny,Summer,Medium,No,No,9.0,5.0,3995,2023-03
2023-03-21,P001,Clothes,6,7,799,0,Sunny,Summer,Medium,No,No,8.571428571428571,5.0,4794,2023-03
2023-03-22,P001,Clothes,2,5,799,0,Sunny,Summer,Low,No,No,6.428571428571429,6.0,1598,2023-03
2023-03-24,P001,Clothes,7,7,799,25,Humid,Summer,Medium,Yes,No,6.857142857142857,2.0,5593,2023-03
2023-03-26,P001,Clothes,2,5,799,0,Hot,Summer,Low,No,Yes,6.857142857142857,7.0,1598,2023-03
2023-03-26,P001,Clothes,5,5,799,0,Hot,Summer,Medium,No,Yes,4.571428571428571,2.0,3995,2023-03
2023-03-27,P001,Clothes,5,5,799,0,Hot,Summer,Medium,No,No,4.571428571428571,5.0,3995,2023-03
2023-03-28,P001,Clothes,6,9,799,0,Humid,Summer,Medium,No,No,4.714285714285714,5.0,4794,2023-03
2023-03-31,P001,Clothes,6,7,799,10,Hot,Summer,Medium,Yes,No,4.714285714285714,6.0,4794,2023-03
2023-04-05,P001,Clothes,7,10,799,25,Hot,Summer,Medium,Yes,No,5.428571428571429,6.0,5593,2023-04
2023-04-05,P001,Clothes,12,14,799,15,Hot,Summer,High,Yes,No,6.142857142857143,7.0,9588,2023-04
2023-04-05,P001,Clothes,5,8,799,0,Hot,Summer,Medium,No,No,6.571428571428571,12.0,3995,2023-04
2023-04-07,P001,Clothes,4,6,799,15,Sunny,Summer,Low,Yes,No,6.428571428571429,5.0,3196,2023-04
2023-04-08,P001,Clothes,6,7,799,0,Hot,Summer,Medium,No,Yes,6.571428571428571,4.0,4794,2023-04
2023-04-11,P001,Clothes,5,8,799,0,Hot,Summer,Medium,No,No,6.428571428571429,6.0,3995,2023-04
2023-04-12,P001,Clothes,6,9,799,0,Hot,Summer,Medium,No,No,6.428571428571429,5.0,4794,2023-04
2023-04-14,P001,Clothes,3,4,799,0,Hot,Summer,Low,No,No,5.857142857142857,6.0,2397,2023-04
2023-04-18,P001,Clothes,3,5,799,0,Hot,Summer,Low,No,No,4.571428571428571,3.0,2397,2023-04
2023-04-21,P001,Clothes,11,14,799,20,Hot,Summer,High,Yes,No,5.428571428571429,3.0,8789,2023-04
2023-04-23,P001,Clothes,5,7,799,0,Hot,Summer,Medium,No,Yes,5.571428571428571,11.0,3995,2023-04
2023-04-24,P001,Clothes,8,10,799,0,Hot,Summer,Medium,No,No,5.857142857142857,5.0,6392,2023-04
2023-04-27,P001,Clothes,9,11,799,15,Hot,Summer,Medium,Yes,No,6.428571428571429,8.0,7191,2023-04
2023-04-30,P001,Clothes,2,5,799,0,Hot,Summer,Low,No,Yes,5.857142857142857,9.0,1598,2023-04
2023-05-02,P001,Clothes,3,3,799,0,Humid,Summer,Low,No,No,5.857142857142857,2.0,2397,2023-05
2023-05-10,P001,Clothes,6,7,799,15,Sunny,Summer,Medium,Yes,No,6.285714285714286,3.0,4794,2023-05
2023-05-11,P001,Clothes,4,6,799,0,Hot,Summer,Low,No,No,5.285714285714286,6.0,3196,2023-05
2023-05-11,P001,Clothes,11,14,799,0,Hot,Summer,High,No,No,6.142857142857143,4.0,8789,2023-05
2023-05-15,P001,Clothes,11,14,799,0,Sunny,Summer,High,No,No,6.571428571428571,11.0,8789,2023-05
2023-05-15,P001,Clothes,8,10,799,10,Sunny,Summer,Medium,Yes,No,6.428571428571429,11.0,6392,2023-05
2023-05-15,P001,Clothes,5,6,799,0,Sunny,Summer,Medium,No,No,6.857142857142857,8.0,3995,2023-05
2023-05-16,P001,Clothes,5,5,799,0,Hot,Summer,Medium,No,No,7.142857142857143,5.0,3995,2023-05
2023-05-16,P001,Clothes,2,2,799,0,Hot,Summer,Low,No,No,6.571428571428571,5.0,1598,2023-05
2023-05-18,P001,Clothes,5,5,799,10,Hot,Summer,Medium,Yes,No,6.714285714285714,2.0,3995,2023-05
2023-05-19,P001,Clothes,8,8,799,10,Hot,Summer,Medium,Yes,No,6.285714285714286,5.0,6392,2023-05
2023-05-20,P001,Clothes,4,6,799,0,Sunny,Summer,Low,No,Yes,5.285714285714286,8.0,3196,2023-05
2023-05-24,P001,Clothes,3,6,799,0,Hot,Summer,Low,No,No,4.571428571428571,4.0,2397,2023-05
2023-05-24,P001,Clothes,7,10,799,5,Hot,Summer,Medium,Yes,No,4.857142857142857,3.0,5593,2023-05
2023-05-27,P001,Clothes,10,10,799,0,Humid,Summer,High,No,Yes,5.571428571428571,7.0,7990,2023-05
2023-05-31,P001,Clothes,3,6,799,25,Hot,Summer,Low,Yes,No,5.714285714285714,10.0,2397,2023-05
2023-05-31,P001,Clothes,2,3,799,0,Hot,Summer,Low,No,No,5.285714285714286,3.0,1598,2023-05
2023-06-05,P001,Clothes,12,13,799,20,Rainy,Monsoon,High,Yes,No,5.857142857142857,2.0,9588,2023-06
2023-06-06,P001,Clothes,2,5,799,0,Humid,Monsoon,Low,No,No,5.571428571428571,12.0,1598,2023-06
2023-06-09,P001,Clothes,5,6,799,0,Rainy,Monsoon,Medium,No,No,5.857142857142857,2.0,3995,2023-06
2023-06-11,P001,Clothes,6,7,799,0,Rainy,Monsoon,Medium,No,Yes,5.714285714285714,5.0,4794,2023-06
2023-06-12,P001,Clothes,2,5,799,0,Rainy,Monsoon,Low,No,No,4.571428571428571,6.0,1598,2023-06
2023-06-13,P001,Clothes,3,3,799,0,Rainy,Monsoon,Low,No,No,4.571428571428571,2.0,2397,2023-06
2023-06-14,P001,Clothes,1,3,799,0,Humid,Monsoon,Low,No,No,4.428571428571429,3.0,799,2023-06
2023-06-17,P001,Clothes,2,2,799,0,Rainy,Monsoon,Low,No,Yes,3.0,1.0,1598,2023-06
2023-06-19,P001,Clothes,6,8,799,10,Humid,Monsoon,Medium,Yes,No,3.5714285714285716,2.0,4794,2023-06
2023-06-21,P001,Clothes,3,3,799,0,Rainy,Monsoon,Low,No,No,3.2857142857142856,6.0,2397,2023-06
2023-06-22,P001,Clothes,8,9,799,10,Rainy,Monsoon,Medium,Yes,No,3.5714285714285716,3.0,6392,2023-06
2023-06-29,P001,Clothes,9,9,799,0,Rainy,Monsoon,Medium,No,No,4.571428571428571,8.0,7191,2023-06
2023-07-06,P001,Clothes,11,14,799,20,Rainy,Monsoon,High,Yes,No,5.714285714285714,9.0,8789,2023-07
2023-07-08,P001,Clothes,6,9,799,0,Rainy,Monsoon,Medium,No,Yes,6.428571428571429,11.0,4794,2023-07
2023-07-13,P001,Clothes,6,8,799,0,Humid,Monsoon,Medium,No,No,7.0,6.0,4794,2023-07
