date,product_id,category,units_sold,units_ordered,price,discount(%),weather,season,demand,promotion,holiday,revenue,revenue_ma7,lag_1,promotion_flag,holiday_flag,month
2022-05-28,P001,Clothes,7,10,799,5,Sunny,Summer,Medium,Yes,Yes,5313.349999999999,3989.292857142857,3995.0,1,1,2022-05
2022-06-01,P001,Clothes,5,5,799,0,Rainy,Monsoon,Medium,No,No,3995.0,4331.721428571428,5313.349999999999,0,0,2022-06
2022-06-11,P001,Clothes,7,9,799,0,Humid,Monsoon,Medium,No,Yes,5593.0,4046.3642857142854,3995.0,0,1,2022-06
2022-06-12,P001,Clothes,10,13,799,25,Rainy,Monsoon,High,Yes,Yes,5992.5,4445.864285714286,5593.0,1,1,2022-06
2022-06-12,P001,Clothes,7,7,799,20,Rainy,Monsoon,Medium,Yes,Yes,4474.400000000001,4970.921428571428,5992.5,1,1,2022-06
2022-06-13,P001,Clothes,6,6,799,25,Rainy,Monsoon,Medium,Yes,No,3595.5,4708.392857142857,4474.400000000001,1,0,2022-06
2022-06-14,P001,Clothes,5,7,799,0,Cloudy,Monsoon,Medium,No,No,3995.0,4708.392857142857,3595.5,0,0,2022-06
2022-06-14,P001,Clothes,4,7,799,0,Cloudy,Monsoon,Low,No,No,3196.0,4405.914285714286,3995.0,0,0,2022-06
2022-06-16,P001,Clothes,7,8,799,0,Cloudy,Monsoon,Medium,No,No,5593.0,4634.2,3196.0,0,0,2022-06
2022-06-17,P001,Clothes,1,1,799,0,Rainy,Monsoon,Low,No,No,799.0,3949.342857142857,5593.0,0,0,2022-06
2022-06-18,P001,Clothes,7,9,799,0,Humid,Monsoon,Medium,No,Yes,5593.0,3892.2714285714287,799.0,0,1,2022-06
2022-06-20,P001,Clothes,2,3,799,0,Rainy,Monsoon,Low,No,No,1598.0,3481.3571428571427,5593.0,0,0,2022-06
2022-06-20,P001,Clothes,9,10,799,20,Rainy,Monsoon,Medium,Yes,No,5752.8,3789.542857142857,1598.0,1,0,2022-06
2022-06-24,P001,Clothes,7,8,799,0,Cloudy,Monsoon,Medium,No,No,5593.0,4017.828571428571,5752.8,0,0,2022-06
2022-06-25,P001,Clothes,7,8,799,0,Cloudy,Monsoon,Medium,No,Yes,5593.0,4360.257142857143,5593.0,0,1,2022-06
2022-06-26,P001,Clothes,5,8,799,0,Rainy,Monsoon,Medium,No,Yes,3995.0,4131.971428571428,5593.0,0,1,2022-06
2022-06-26,P001,Clothes,5,6,799,25,Rainy,Monsoon,Medium,Yes,Yes,2996.25,4445.864285714286,3995.0,1,1,2022-06
2022-06-28,P001,Clothes,3,6,799,0,Rainy,Monsoon,Low,No,No,2397.0,3989.292857142857,2996.25,0,0,2022-06
2022-06-30,P001,Clothes,1,2,799,0,Rainy,Monsoon,Low,No,No,799.0,3875.15,2397.0,0,0,2022-06
2022-07-03,P001,Clothes,8,10,799,0,Rainy,Monsoon,Medium,No,Yes,6392.0,3966.464285714286,799.0,0,1,2022-07
2022-07-07,P001,Clothes,7,10,799,10,Humid,Monsoon,Medium,Yes,No,5033.7,3886.5642857142857,6392.0,1,0,2022-07
2022-07-07,P001,Clothes,7,8,799,0,Humid,Monsoon,Medium,No,No,5593.0,3886.5642857142857,5033.7,0,0,2022-07
2022-07-09,P001,Clothes,10,12,799,25,Rainy,Monsoon,High,Yes,Yes,5992.5,4171.921428571429,5593.0,1,1,2022-07
2022-07-09,P001,Clothes,7,8,799,0,Rainy,Monsoon,Medium,No,Yes,5593.0,4542.885714285714,5992.5,0,1,2022-07
2022-07-18,P001,Clothes,8,11,799,0,Humid,Monsoon,Medium,No,No,6392.0,5113.599999999999,5593.0,0,0,2022-07
2022-07-19,P001,Clothes,6,8,799,0,Rainy,Monsoon,Medium,No,No,4794.0,5684.314285714286,6392.0,0,0,2022-07
2022-07-26,P001,Clothes,5,6,799,0,Rainy,Monsoon,Medium,No,No,3995.0,5341.885714285714,4794.0,0,0,2022-07
2022-08-01,P001,Clothes,11,14,799,15,Humid,Monsoon,High,Yes,No,7470.65,5690.021428571429,3995.0,1,0,2022-08
2022-08-02,P001,Clothes,2,2,799,0,Humid,Monsoon,Low,No,No,1598.0,5119.307142857143,7470.65,0,0,2022-08
2022-08-03,P001,Clothes,6,9,799,0,Humid,Monsoon,Medium,No,No,4794.0,4948.092857142858,1598.0,0,0,2022-08
2022-08-06,P001,Clothes,5,6,799,0,Rainy,Monsoon,Medium,No,Yes,3995.0,4719.807142857143,4794.0,0,1,2022-08
2022-08-09,P001,Clothes,4,6,799,0,Cloudy,Monsoon,Low,No,No,3196.0,4263.235714285714,3995.0,0,0,2022-08
2022-08-09,P001,Clothes,6,7,799,0,Cloudy,Monsoon,Medium,No,No,4794.0,4263.235714285714,3196.0,0,0,2022-08
2022-08-11,P001,Clothes,5,7,799,0,Rainy,Monsoon,Medium,No,No,3995.0,4263.235714285714,4794.0,0,0,2022-08
2022-08-12,P001,Clothes,5,7,799,0,Humid,Monsoon,Medium,No,No,3995.0,3766.714285714286,3995.0,0,0,2022-08
2022-08-14,P001,Clothes,6,9,799,15,Rainy,Monsoon,Medium,Yes,Yes,4074.9,4120.557142857143,3995.0,1,1,2022-08
2022-08-16,P001,Clothes,5,7,799,0,Humid,Monsoon,Medium,No,No,3995.0,4006.414285714286,4074.9,0,0,2022-08
2022-08-22,P001,Clothes,4,7,799,0,Rainy,Monsoon,Low,No,No,3196.0,3892.2714285714287,3995.0,0,0,2022-08
2022-08-24,P001,Clothes,3,3,799,0,Humid,Monsoon,Low,No,No,2397.0,3778.128571428572,3196.0,0,0,2022-08
2022-08-26,P001,Clothes,5,8,799,0,Humid,Monsoon,Medium,No,No,3995.0,3663.9857142857145,2397.0,0,0,2022-08
2022-08-30,P001,Clothes,2,5,799,0,Humid,Monsoon,Low,No,No,1598.0,3321.557142857143,3995.0,0,0,2022-08
2022-09-05,P001,Clothes,7,9,799,0,Rainy,Monsoon,Medium,No,No,5593.0,3549.842857142857,1598.0,0,0,2022-09
2022-09-10,P001,Clothes,8,8,799,0,Cloudy,Monsoon,Medium,No,Yes,6392.0,3880.8571428571427,5593.0,0,1,2022-09
2022-09-16,P001,Clothes,5,5,799,0,Rainy,Monsoon,Medium,No,No,3995.0,3880.8571428571427,6392.0,0,0,2022-09
2022-09-21,P001,Clothes,7,8,799,0,Humid,Monsoon,Medium,No,No,5593.0,4223.285714285715,3995.0,0,0,2022-09
2022-09-21,P001,Clothes,7,9,799,0,Humid,Monsoon,Medium,No,No,5593.0,4679.857142857143,5593.0,0,0,2022-09
2022-09-22,P001,Clothes,4,4,799,0,Rainy,Monsoon,Low,No,No,3196.0,4565.714285714285,5593.0,0,0,2022-09
2022-09-25,P001,Clothes,3,4,799,0,Humid,Monsoon,Low,No,Yes,2397.0,4679.857142857143,3196.0,0,1,2022-09
2022-09-25,P001,Clothes,8,11,799,0,Humid,Monsoon,Medium,No,Yes,6392.0,4794.0,2397.0,0,1,2022-09
2022-09-28,P001,Clothes,5,6,799,0,Rainy,Monsoon,Medium,No,No,3995.0,4451.571428571428,6392.0,0,0,2022-09
2022-09-30,P001,Clothes,2,2,799,0,Rainy,Monsoon,Low,No,No,1598.0,4109.142857142857,3995.0,0,0,2022-09
2022-10-01,P001,Clothes,1,3,799,0,Sunny,Autumn,Low,No,Yes,799.0,3424.285714285714,1598.0,0,1,2022-10
2022-10-01,P001,Clothes,4,4,799,0,Sunny,Autumn,Low,No,Yes,3196.0,3081.8571428571427,799.0,0,1,2022-10
2022-10-02,P001,Clothes,11,11,799,0,Pleasant,Autumn,High,No,Yes,8789.0,3880.8571428571427,3196.0,0,1,2022-10
2022-10-03,P001,Clothes,5,6,799,0,Sunny,Autumn,Medium,No,No,3995.0,4109.142857142857,8789.0,0,0,2022-10
2022-10-04,P001,Clothes,4,4,799,0,Pleasant,Autumn,Low,No,No,3196.0,3652.5714285714284,3995.0,0,0,2022-10
2022-10-08,P001,Clothes,8,10,799,20,Cloudy,Autumn,Medium,Yes,Yes,5113.6,3812.371428571428,3196.0,1,1,2022-10
2022-10-14,P001,Clothes,4,5,799,0,Sunny,Autumn,Low,No,No,3196.0,4040.657142857143,5113.6,0,0,2022-10
2022-10-15,P001,Clothes,3,4,799,0,Sunny,Autumn,Low,No,Yes,2397.0,4268.942857142857,3196.0,0,1,2022-10
2022-10-19,P001,Clothes,12,13,799,0,Pleasant,Autumn,High,No,No,9588.0,5182.085714285714,2397.0,0,0,2022-10
2022-10-21,P001,Clothes,4,4,799,0,Pleasant,Autumn,Low,No,No,3196.0,4383.085714285714,9588.0,0,0,2022-10
2022-10-22,P001,Clothes,8,11,799,0,Sunny,Autumn,Medium,No,Yes,6392.0,4725.5142857142855,3196.0,0,1,2022-10
2022-10-24,P001,Clothes,24,27,799,5,Pleasant,Autumn,High,Yes,Yes,18217.2,6871.400000000001,6392.0,1,1,2022-10
2022-10-25,P001,Clothes,6,8,799,0,Pleasant,Autumn,Medium,No,No,4794.0,6825.742857142858,18217.2,0,0,2022-10
2022-10-25,P001,Clothes,5,8,799,0,Pleasant,Autumn,Medium,No,No,3995.0,6939.885714285715,4794.0,0,0,2022-10
2022-10-26,P001,Clothes,6,6,799,0,Cloudy,Autumn,Medium,No,No,4794.0,7282.314285714287,3995.0,0,0,2022-10
2022-10-27,P001,Clothes,3,4,799,0,Sunny,Autumn,Low,No,No,2397.0,6255.028571428572,4794.0,0,0,2022-10
2022-11-06,P001,Clothes,15,16,799,10,Cloudy,Autumn,High,Yes,Yes,10786.5,7339.385714285715,2397.0,1,1,2022-11
2022-11-10,P001,Clothes,3,6,799,0,Sunny,Autumn,Low,No,No,2397.0,6768.671428571429,10786.5,0,0,2022-11
2022-11-11,P001,Clothes,3,6,799,0,Pleasant,Autumn,Low,No,No,2397.0,4508.642857142857,2397.0,0,0,2022-11
2022-11-14,P001,Clothes,5,5,799,0,Pleasant,Autumn,Medium,No,No,3995.0,4394.5,2397.0,0,0,2022-11
2022-11-15,P001,Clothes,6,9,799,0,Sunny,Autumn,Medium,No,No,4794.0,4508.642857142857,3995.0,0,0,2022-11
2022-11-15,P001,Clothes,4,4,799,0,Sunny,Autumn,Low,No,No,3196.0,4280.357142857143,4794.0,0,0,2022-11
2022-11-18,P001,Clothes,6,6,799,25,Pleasant,Autumn,Medium,Yes,No,3595.5,4451.571428571428,3196.0,1,0,2022-11
2022-11-21,P001,Clothes,6,7,799,15,Pleasant,Autumn,Medium,Yes,No,4074.9,3492.7714285714287,3595.5,1,0,2022-11
2022-11-24,P001,Clothes,6,7,799,20,Pleasant,Autumn,Medium,Yes,No,3835.2000000000003,3698.2285714285713,4074.9,1,0,2022-11
2022-11-27,P001,Clothes,3,4,799,0,Cloudy,Autumn,Low,No,Yes,2397.0,3698.2285714285713,3835.2000000000003,0,1,2022-11
2022-11-28,P001,Clothes,8,10,799,0,Pleasant,Autumn,Medium,No,No,6392.0,4040.657142857143,2397.0,0,0,2022-11
2022-12-04,P001,Clothes,0,1,799,0,Sunny,Winter,Low,No,Yes,0.0,3355.7999999999997,6392.0,0,1,2022-12
2022-12-05,P001,Clothes,6,7,799,0,Sunny,Winter,Medium,No,No,4794.0,3584.085714285714,0.0,0,0,2022-12
2022-12-09,P001,Clothes,2,2,799,0,Cloudy,Winter,Low,No,No,1598.0,3298.7285714285713,4794.0,0,0,2022-12
2022-12-12,P001,Clothes,3,5,799,0,Cold,Winter,Low,No,No,2397.0,3059.028571428571,1598.0,0,0,2022-12
2022-12-12,P001,Clothes,15,15,799,25,Cold,Winter,High,Yes,No,8988.75,3795.25,2397.0,1,0,2022-12
2022-12-15,P001,Clothes,3,6,799,0,Cold,Winter,Low,No,No,2397.0,3795.25,8988.75,0,0,2022-12
2022-12-16,P001,Clothes,3,6,799,0,Sunny,Winter,Low,No,No,2397.0,3224.535714285714,2397.0,0,0,2022-12
2022-12-17,P001,Clothes,7,8,799,0,Cold,Winter,Medium,No,Yes,5593.0,4023.535714285714,2397.0,0,1,2022-12
2022-12-17,P001,Clothes,7,9,799,0,Cold,Winter,Medium,No,Yes,5593.0,4137.678571428572,5593.0,0,1,2022-12
2022-12-18,P001,Clothes,5,8,799,25,Cold,Winter,Medium,Yes,Yes,2996.25,4337.428571428572,5593.0,1,1,2022-12
2022-12-19,P001,Clothes,8,10,799,0,Cold,Winter,Medium,No,No,6392.0,4908.142857142857,2996.25,0,0,2022-12
2022-12-22,P001,Clothes,6,8,799,0,Sunny,Winter,Medium,No,No,4794.0,4308.892857142857,6392.0,0,0,2022-12
2022-12-23,P001,Clothes,3,4,799,0,Cold,Winter,Low,No,No,2397.0,4308.892857142857,4794.0,0,0,2022-12
2022-12-23,P001,Clothes,6,6,799,0,Cold,Winter,Medium,No,No,4794.0,4651.321428571428,2397.0,0,0,2022-12
2022-12-23,P001,Clothes,11,14,799,5,Cold,Winter,High,Yes,No,8349.55,5045.114285714286,4794.0,1,0,2022-12
2022-12-27,P001,Clothes,3,3,799,0,Cold,Winter,Low,No,No,2397.0,4588.542857142857,8349.55,0,0,2022-12
2022-12-27,P001,Clothes,1,2,799,0,Cold,Winter,Low,No,No,799.0,4274.650000000001,2397.0,0,0,2022-12
2022-12-29,P001,Clothes,7,7,799,0,Sunny,Winter,Medium,No,No,5593.0,4160.507142857144,799.0,0,0,2022-12
2022-12-31,P001,Clothes,10,13,799,0,Sunny,Winter,High,No,Yes,7990.0,4617.078571428572,5593.0,0,1,2022-12
2023-01-02,P001,Clothes,3,5,799,0,Cloudy,Winter,Low,No,No,2397.0,4617.078571428572,7990.0,0,0,2023-01
2023-01-05,P001,Clothes,3,6,799,0,Cold,Winter,Low,No,No,2397.0,4274.650000000001,2397.0,0,0,2023-01
2023-01-07,P001,Clothes,6,8,799,0,Cold,Winter,Medium,No,Yes,4794.0,3766.714285714286,2397.0,0,1,2023-01
2023-01-12,P001,Clothes,4,7,799,0,Cold,Winter,Low,No,No,3196.0,3880.8571428571427,4794.0,0,0,2023-01
2023-01-15,P001,Clothes,2,5,799,0,Sunny,Winter,Low,No,Yes,1598.0,3995.0,3196.0,0,1,2023-01
2023-01-18,P001,Clothes,6,6,799,0,Cold,Winter,Medium,No,No,4794.0,3880.8571428571427,1598.0,0,0,2023-01
2023-01-22,P001,Clothes,1,1,799,0,Cold,Winter,Low,No,Yes,799.0,2853.5714285714284,4794.0,0,1,2023-01
2023-01-22,P001,Clothes,7,9,799,10,Cold,Winter,Medium,Yes,Yes,5033.7,3230.242857142857,799.0,1,1,2023-01
2023-01-26,P001,Clothes,5,8,799,15,Cold,Winter,Medium,Yes,No,3395.75,3372.9214285714284,5033.7,1,0,2023-01
2023-01-26,P001,Clothes,4,5,799,0,Cold,Winter,Low,No,No,3196.0,3144.6357142857137,3395.75,0,0,2023-01
2023-01-26,P001,Clothes,3,4,799,0,Cold,Winter,Low,No,No,2397.0,3030.492857142857,3196.0,0,0,2023-01
2023-01-27,P001,Clothes,4,6,799,0,Cloudy,Winter,Low,No,No,3196.0,3258.778571428571,2397.0,0,0,2023-01
2023-02-02,P001,Clothes,7,9,799,0,Sunny,Winter,Medium,No,No,5593.0,3372.9214285714284,3196.0,0,0,2023-02
2023-02-02,P001,Clothes,6,6,799,0,Sunny,Winter,Medium,No,No,4794.0,3943.6357142857137,5593.0,0,0,2023-02
2023-02-03,P001,Clothes,6,7,799,0,Sunny,Winter,Medium,No,No,4794.0,3909.3928571428573,4794.0,0,0,2023-02
2023-02-04,P001,Clothes,4,6,799,0,Sunny,Winter,Low,No,Yes,3196.0,3880.8571428571427,4794.0,0,1,2023-02
2023-02-05,P001,Clothes,5,8,799,0,Cold,Winter,Medium,No,Yes,3995.0,3995.0,3196.0,0,1,2023-02
2023-02-08,P001,Clothes,2,4,799,0,Cold,Winter,Low,No,No,1598.0,3880.8571428571427,3995.0,0,0,2023-02
2023-02-12,P001,Clothes,10,12,799,0,Cold,Winter,High,No,Yes,7990.0,4565.714285714285,1598.0,0,1,2023-02
2023-02-13,P001,Clothes,4,4,799,25,Sunny,Winter,Low,Yes,No,2397.0,4109.142857142857,7990.0,1,0,2023-02
2023-02-13,P001,Clothes,5,6,799,0,Sunny,Winter,Medium,No,No,3995.0,3995.0,2397.0,0,0,2023-02
2023-02-13,P001,Clothes,2,4,799,0,Sunny,Winter,Low,No,No,1598.0,3538.4285714285716,3995.0,0,0,2023-02
2023-02-15,P001,Clothes,5,8,799,10,Sunny,Winter,Medium,Yes,No,3595.5,3595.5,1598.0,1,0,2023-02
2023-02-20,P001,Clothes,7,10,799,0,Sunny,Winter,Medium,No,No,5593.0,3823.785714285714,3595.5,0,0,2023-02
2023-02-22,P001,Clothes,11,13,799,15,Cold,Winter,High,Yes,No,7470.65,4662.7357142857145,5593.0,1,0,2023-02
2023-02-22,P001,Clothes,1,3,799,0,Cold,Winter,Low,No,No,799.0,3635.4500000000003,7470.65,0,0,2023-02
2023-02-22,P001,Clothes,3,5,799,25,Cold,Winter,Low,Yes,No,1797.75,3549.842857142857,799.0,1,0,2023-02
2023-02-23,P001,Clothes,4,5,799,0,Sunny,Winter,Low,No,No,3196.0,3435.7000000000003,1797.75,0,0,2023-02
2023-03-03,P001,Clothes,5,6,799,0,Hot,Summer,Medium,No,No,3995.0,3778.128571428572,3196.0,0,0,2023-03
2023-03-06,P001,Clothes,6,8,799,0,Sunny,Summer,Medium,No,No,4794.0,3949.342857142857,3995.0,0,0,2023-03
2023-03-07,P001,Clothes,9,10,799,10,Sunny,Summer,Medium,Yes,No,6471.900000000001,4074.9000000000005,4794.0,1,0,2023-03
2023-03-09,P001,Clothes,17,19,799,10,Hot,Summer,High,Yes,No,12224.7,4754.05,6471.900000000001,1,0,2023-03
2023-03-15,P001,Clothes,4,6,799,0,Sunny,Summer,Low,No,No,3196.0,5096.478571428571,12224.7,0,0,2023-03
2023-03-18,P001,Clothes,2,4,799,10,Sunny,Summer,Low,Yes,Yes,1438.2,5045.114285714286,3196.0,1,1,2023-03
2023-03-18,P001,Clothes,21,21,799,15,Sunny,Summer,High,Yes,Yes,14262.15,6625.992857142856,1438.2,1,1,2023-03
2023-03-20,P001,Clothes,5,5,799,15,Sunny,Summer,Medium,Yes,No,3395.75,6540.385714285714,14262.15,1,0,2023-03
2023-03-20,P001,Clothes,5,6,799,0,Sunny,Summer,Medium,No,No,3995.0,6426.242857142856,3395.75,0,0,2023-03
2023-03-21,P001,Clothes,6,7,799,0,Sunny,Summer,Medium,No,No,4794.0,6186.542857142857,3995.0,0,0,2023-03
2023-03-22,P001,Clothes,2,5,799,0,Sunny,Summer,Low,No,No,1598.0,4668.442857142857,4794.0,0,0,2023-03
2023-03-24,P001,Clothes,7,7,799,25,Humid,Summer,Medium,Yes,No,4194.75,4811.121428571429,1598.0,1,0,2023-03
2023-03-26,P001,Clothes,2,5,799,0,Hot,Summer,Low,No,Yes,1598.0,4833.95,4194.75,0,1,2023-03
2023-03-26,P001,Clothes,5,5,799,0,Hot,Summer,Medium,No,Yes,3995.0,3367.214285714286,1598.0,0,1,2023-03
2023-03-27,P001,Clothes,5,5,799,0,Hot,Summer,Medium,No,No,3995.0,3452.8214285714284,3995.0,0,0,2023-03
2023-03-28,P001,Clothes,6,9,799,0,Humid,Summer,Medium,No,No,4794.0,3566.964285714286,3995.0,0,0,2023-03
2023-03-31,P001,Clothes,6,7,799,10,Hot,Summer,Medium,Yes,No,4314.6,3498.4785714285713,4794.0,1,0,2023-03
2023-04-05,P001,Clothes,7,10,799,25,Hot,Summer,Medium,Yes,No,4194.75,3869.442857142857,4314.6,1,0,2023-04
2023-04-05,P001,Clothes,12,14,799,15,Hot,Summer,High,Yes,No,8149.8,4434.45,4194.75,1,0,2023-04
2023-04-05,P001,Clothes,5,8,799,0,Hot,Summer,Medium,No,No,3995.0,4776.878571428571,8149.8,0,0,2023-04
2023-04-07,P001,Clothes,4,6,799,15,Sunny,Summer,Low,Yes,No,2716.6,4594.25,3995.0,1,0,2023-04
2023-04-08,P001,Clothes,6,7,799,0,Hot,Summer,Medium,No,Yes,4794.0,4708.392857142857,2716.6,0,1,2023-04
2023-04-11,P001,Clothes,5,8,799,0,Hot,Summer,Medium,No,No,3995.0,4594.25,4794.0,0,0,2023-04
2023-04-12,P001,Clothes,6,9,799,0,Hot,Summer,Medium,No,No,4794.0,4662.7357142857145,3995.0,0,0,2023-04
2023-04-14,P001,Clothes,3,4,799,0,Hot,Summer,Low,No,No,2397.0,4405.914285714286,4794.0,0,0,2023-04
2023-04-18,P001,Clothes,3,5,799,0,Hot,Summer,Low,No,No,2397.0,3584.085714285714,2397.0,0,0,2023-04
2023-04-21,P001,Clothes,11,14,799,20,Hot,Summer,High,Yes,No,7031.200000000001,4017.828571428571,2397.0,1,0,2023-04
2023-04-23,P001,Clothes,5,7,799,0,Hot,Summer,Medium,No,Yes,3995.0,4200.457142857143,7031.200000000001,0,1,2023-04
2023-04-24,P001,Clothes,8,10,799,0,Hot,Summer,Medium,No,No,6392.0,4428.742857142857,3995.0,0,0,2023-04
2023-04-27,P001,Clothes,9,11,799,15,Hot,Summer,Medium,Yes,No,6112.349999999999,4731.221428571429,6392.0,1,0,2023-04
2023-04-30,P001,Clothes,2,5,799,0,Hot,Summer,Low,No,Yes,1598.0,4274.65,6112.349999999999,0,1,2023-04
2023-05-02,P001,Clothes,3,3,799,0,Humid,Summer,Low,No,No,2397.0,4274.65,1598.0,0,0,2023-05
2023-05-10,P001,Clothes,6,7,799,15,Sunny,Summer,Medium,Yes,No,4074.9,4514.35,2397.0,1,0,2023-05
2023-05-11,P001,Clothes,4,6,799,0,Hot,Summer,Low,No,No,3196.0,3966.464285714286,4074.9,0,0,2023-05
2023-05-11,P001,Clothes,11,14,799,0,Hot,Summer,High,No,No,8789.0,4651.321428571428,3196.0,0,0,2023-05
2023-05-15,P001,Clothes,11,14,799,0,Sunny,Summer,High,No,No,8789.0,4993.75,8789.0,0,0,2023-05
2023-05-15,P001,Clothes,8,10,799,10,Sunny,Summer,Medium,Yes,No,5752.8,4942.385714285715,8789.0,1,0,2023-05
